title;url;source_id
Stangest CanBel universalus valiklis katėms ir šunims;https://vet1.lt/p/stangest-canbel-universalus-valiklis-katems-ir-sunims;829ff60e-4ffb-5549-8d3e-fe83d0c6952b
Versele Laga Prestige Snack skanėstai didžiosioms papūgoms : Pakuotė skanėstai - 125 g;https://vet1.lt/p/versele-laga-prestige-snack-skanestai-didziosioms-papugoms#/pakuote_skanestai-125_g;34ae58b2-16cc-5a00-8a07-6c85a36a1e6c
Bozita konservai su kalakutienos gabaliukais padaže katėms : Pakuotė konservas - 85 g;https://vet1.lt/p/bozita-konservai-su-kalakutienos-gabaliukais-padaze-katems#/pakuote_konservas-85_g;4c8c33e5-9c89-512a-8e22-c142064599e3
Ficcaro jautienos ir polako kubeliai skanėstai šunims ir katėms : Skanėstų kiekiai - 100 g;https://vet1.lt/p/ficcaro-jautienos-ir-polako-kubeliai-skanestai-sunims-ir-katems#/skanestu_kiekiai-100_g;b2c69b27-29f0-5edd-b5f6-bf5b8fa95341
Monge Gift Puppy and Junior skanėstai su kiauliena ir gervuogėmis šunims : Pakuotė skanėstai - 150 g;https://vet1.lt/p/monge-gift-puppy-and-junior-skanestai-su-kiauliena-ir-gervuogemis-sunims#/pakuote_skanestai-150_g;31bd78b8-3dd9-5360-bff8-4bd4465f767b
KONG cat pillow critters žaislas katėms : Kiekis - 1 vnt.;https://vet1.lt/p/kong-cat-pillow-critters-zaislas-katems#/kiekis-1_vnt;f638cf72-7a14-5b46-8cc9-dfaf55da17bd
Aatas Cat Tantalizing Tuna & Saba konservai katėms : Pakuotė konservas - 80 g;https://vet1.lt/p/aatas-cat-tantalizing-tuna-saba-konservai-katems#/pakuote_konservas-80_g;dbce160d-1edb-523d-9f21-9be914b7a6eb
Monge BWild All Large Breeds konservai su buivoliena ir daržovėmis katėms : Pakuotė konservas - 85 g;https://vet1.lt/p/monge-bwild-all-large-breeds-konservai-su-buivoliena-ir-darzovemis-katems#/pakuote_konservas-85_g;55b33c6d-746d-53c7-b10a-dda7c0cd7a88
Oasy guliašas su vištiena suaugusioms katėms : Pakuotė konservas - 70 g;https://vet1.lt/p/oasy-adult-pollo-guliasas-su-vistiena-suaugusioms-katems#/pakuote_konservas-70_g;b4954095-4df9-529d-8790-fdd7294f5a17
Biokats Bianco Fresh Vanilla & Mandarin kraikas katėms : Kraiko pak. - 10 L;https://vet1.lt/p/biokat-s-bianco-fresh-vanilla-mandarin-kraikas-katems#/kraiko_pak-10_l;a05a40fb-378c-5591-b7f8-b7f9e41f256d
Leonardo Drink & Care Beauty guliašas su vištiena katėms : Pakuotė konservas - 40 g;https://vet1.lt/p/leonardo-drink-care-beauty-guliasas-su-vistiena-katems#/pakuote_konservas-40_g;5718df7e-dde6-50d3-9342-827a17808331
Nylabone Extreme kramtymo kauliukas su riešutų sviesto skoniu šunims : Žaislų dydžiai - L;https://vet1.lt/p/nylabone-extreme-kramtymo-kauliukas-su-riesutu-sviesto-skoniu-sunims#/zaislu_dydziai-l;a80e5466-55a3-55b5-a175-2b0d3730f225
Beaphar Laveta Super Cat papildai katėms : Tūris - 50 ml;https://vet1.lt/p/beaphar-laveta-super-cat-papildai-katems#/turis-50_ml;8a910580-750f-5e68-8ecf-96bbd4d58511
SmartBones Grill Masters BBQ Beef T-Bones skanėstai šunims : Skanėstų kiekis vnt. - 8 vnt.;https://vet1.lt/p/smartbones-grill-masters-bbq-beef-t-bones-skanestai-sunims#/skanestu_kiekis_vnt-8_vnt;fdd8572f-808d-5e19-a182-a32f34e368d5
